id,short_name,overall,potential,value_eur,wage_eur,height_cm,weight_kg,club_name,league_level,club_jersey_number,club_contract_valid_until,nationality_name,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_speed,position,position_grouped,league_country,height_weight_ratio,age,preferred_foot_Left,preferred_foot_Right,real_face_No,real_face_Yes,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium
216302,E. García,71,71,1400000.0,10000,176,73,Club Atlético de San Luis,1,29,2026,Mexico,5,3,1,2400000.0,70.0,52.0,60.0,70.0,67.0,66.0,64,40,56,65,41,68,64,58,58,68,71,70,87,61,86,67,77,86,58,66,56,79,53,48,58,66,65,66,65,,LB,D_LB,Mexico,2.410958904109589,31,False,True,True,False,False,False,False,False,False,False,True,False,False
237867,D. Cancola,65,71,1000000.0,2000,183,73,Ross County FC,1,4,2022,Austria,3,2,1,2000000.0,65.0,38.0,58.0,60.0,63.0,67.0,50,31,59,64,31,57,36,41,64,65,64,65,57,62,67,49,62,71,66,42,66,66,48,62,46,59,65,61,58,,LDM,M_LDM,Scotland,2.506849315068493,24,False,True,True,False,False,False,False,False,False,False,False,False,True
253472,E. Kahl,65,77,1600000.0,2000,178,69,Aarhus GF,1,19,2026,Sweden,3,3,1,2300000.0,79.0,35.0,58.0,66.0,59.0,64.0,59,30,53,60,37,65,56,35,55,64,82,77,71,62,75,50,65,67,61,28,69,62,58,60,31,65,60,58,59,,LWB,D_LWB,Denmark,2.579710144927536,19,True,False,True,False,False,False,True,False,False,False,False,False,False
223994,S. Mugoša,72,72,2300000.0,5000,188,81,Incheon United FC,1,9,2023,Montenegro,3,3,1,2900000.0,64.0,74.0,51.0,68.0,24.0,76.0,32,78,75,59,70,65,48,53,45,74,61,66,64,67,53,71,71,75,87,69,52,18,76,60,75,75,16,22,19,,LS,A_LS,South Korea,2.3209876543209877,29,False,True,True,False,False,False,True,False,False,False,False,False,False
251635,A. Țigănașu,65,65,525000.0,3000,179,74,FC Botoşani,1,30,2022,Romania,2,2,1,709000.0,74.0,53.0,59.0,53.0,61.0,69.0,64,38,49,63,46,43,53,58,55,56,71,76,70,60,71,72,80,78,70,67,53,63,60,52,52,58,64,61,58,,LB,D_LB,Romania,2.418918918918919,31,True,False,True,False,False,False,False,False,False,False,True,False,False
219575,C. Bordacahar,68,68,1200000.0,500,183,70,FBC Melgar,1,7,2021,Argentina,3,3,1,2600000.0,76.0,65.0,60.0,68.0,27.0,57.0,70,68,67,65,53,70,40,36,51,67,77,75,70,70,64,66,76,70,59,60,31,16,62,60,66,59,23,27,22,,RW,A_RW,Peru,2.6142857142857143,29,False,True,True,False,False,False,True,False,False,False,False,False,False
200316,T. Horn,76,78,6500000.0,21000,192,90,1. FC Köln,1,1,2023,Germany,2,1,2,12200000.0,,,,,,,19,13,14,30,14,20,12,15,29,22,45,51,50,79,31,45,64,31,67,17,41,22,15,45,21,25,14,13,12,47.0,GK,G_GK,Germany,2.1333333333333333,28,True,False,False,True,False,False,False,False,False,False,False,False,True
222199,Zheng Kaimu,59,59,220000.0,2000,186,80,Shijiazhuang Ever Bright F.C.,1,16,2021,China PR,3,2,1,341000.0,67.0,49.0,52.0,54.0,60.0,76.0,31,54,64,60,34,49,40,38,59,58,67,67,59,64,52,46,77,78,79,48,67,63,51,59,33,51,57,60,60,,LCM,M_LCM,China,2.325,29,False,True,True,False,False,False,True,False,False,False,False,False,False
234172,B. Bese,69,69,1300000.0,7000,188,84,Oud-Heverlee Leuven,1,18,2022,Hungary,3,3,1,2000000.0,80.0,52.0,56.0,64.0,62.0,79.0,64,47,60,65,26,64,32,29,54,63,70,89,69,67,58,65,60,87,81,58,71,62,63,48,44,60,60,66,61,,RM,M_RM,Belgium,2.238095238095238,27,False,True,True,False,False,False,False,False,False,False,False,False,True
233196,Li Hang,63,63,400000.0,3000,182,77,Wuhan FC,1,20,2021,China PR,3,2,1,620000.0,68.0,61.0,65.0,60.0,58.0,71.0,64,59,59,65,54,57,71,71,64,61,68,68,66,65,64,68,71,80,71,61,62,59,64,63,58,58,58,57,55,,RCM,M_RCM,China,2.3636363636363638,31,False,True,True,False,False,False,True,False,False,False,False,False,False
257728,N. Mușat,62,62,150000.0,1000,176,73,Campionii FC Arges,1,30,2022,Romania,2,2,1,203000.0,66.0,41.0,63.0,48.0,59.0,62.0,67,28,40,66,45,41,71,66,62,47,66,66,67,58,67,64,56,55,69,43,53,60,52,53,34,56,61,63,60,,LB,D_LB,Romania,2.410958904109589,34,True,False,True,False,False,False,False,False,False,False,False,False,True
234642,É. Mendy,83,85,30000000.0,105000,197,86,Chelsea,1,16,2025,Senegal,2,1,2,57800000.0,,,,,,,10,5,10,39,9,13,13,14,46,31,36,33,48,80,27,59,39,35,72,9,22,13,6,44,13,57,10,11,13,35.0,GK,G_GK,England,2.2906976744186047,29,False,True,False,True,False,False,False,False,False,False,False,False,True
